(0, 1)
(199, 198)
(39402, 39403)
(7841197, 7841196)
(562153651, 562153652)
(65209212, 65209211)
(997700753, 997700754)
(890068152, 890068151)
(434311568, 434311569)
(578987873, 578987872)
(420485933, 420485934)
(822419567, 822419566)
(947664095, 947664096)
(915216740, 915216739)
(447658815, 447658816)
(240356967, 240356966)
(913551643, 913551644)
(116304910, 116304909)
(185056772, 185056773)
(889501119, 889501118)
(321472001, 321472002)
(85289806, 85289805)
(2517194, 2517195)
(500921805, 500921804)
(857248049, 857248050)
(890821940, 890821939)
(584315380, 584315381)
(482415871, 482415870)
(169300242, 169300243)
(748684708, 748684707)
(249848096, 249848097)
(805798006, 805798005)
(634706515, 634706516)
(527808206, 527808205)
(218175730, 218175731)
(492463290, 492463289)
(172247917, 172247918)
(337027680, 337027679)
(186136470, 186136471)
(106116668, 106116667)
(154085320, 154085321)
(715648289, 715648288)
(663311186, 663311187)
(230671617, 230671616)
(982655699, 982655700)
(890835465, 890835464)
(587006855, 587006856)
(19775043, 19775042)
(940500299, 940500300)
(487865689, 487865688)
(255569671, 255569672)
(946147078, 946147077)
(613329959, 613329960)
(266850974, 266850973)
(196392918, 196392919)
(150661114, 150661113)
(34230897, 34230898)
(822482584, 822482583)
(960204478, 960204479)
(416019898, 416019897)
(931922557, 931922558)
(777383737, 777383736)
(969733102, 969733103)
(315727368, 315727367)
(938596147, 938596148)
(108939441, 108939440)
(715817147, 715817148)
(696914326, 696914325)
(928229961, 928229962)
(42557133, 42557132)
(482914444, 482914445)
(268516667, 268516666)
(527865825, 527865826)
(229642309, 229642308)
(777823407, 777823408)
(58983477, 58983476)
(757023841, 757023842)
(911091608, 911091607)
(625001900, 625001901)
(593078527, 593078526)
(229793020, 229793021)
(807815294, 807815293)
(37902474, 37902475)
(554882054, 554882053)
(614649717, 614649718)
(529482816, 529482815)
(551423120, 551423121)
(924566602, 924566601)
(311792647, 311792648)
(155587066, 155587065)
(16250992, 16250993)
(239214548, 239214547)
(686210262, 686210263)
(794610329, 794610328)
(404847498, 404847499)
(705104061, 705104060)
(561498520, 561498521)
(933082496, 933082495)
(9966847, 9966848)
(985158399, 985158398)
(390628014, 390628015)
